file_name,style_caption_1,style_caption_2,style_caption_3,style_caption_4,style_caption_5
ambientphase.wav,"A computer-crafted sound, boldly announcing its digital origins with gusto.","A boisterous computer-generated noise, confidently proclaiming its creation.","A spirited, single-string electronic music maker, danced upon with a stick, guided by a human touch.","A lively single-string electronic symphony conductor, joyfully struck and steered by caring hands.","The electronic music instrument, tenderly serenaded by the musician's heartfelt manual touch."
Birds_and_Water_Filling_Rain_Barrel.wav,"Steady rumbling from air bubbles, dancing gracefully through water.","Joyful water froths with bubbles, embraced by a calming mechanical hum.",Harmonious mechanical hum sings as bubbles celebrate in a water symphony.,"Air bubbles waltz through liquid, accompanied by a gentle, constant rumble.","Revitalizing water flows, embracing a flat object with purpose and energy."
Galaktisk time signal.wav,"Melodious chimes, a symphony of uplifting ascending scales.","A trio of tones echo, repeating harmoniously with joy.","Echoing tones in threes, a delightful repeating melody.","Soulful notes resound, a keyboard serenading with love.",Ascending scales crafting a heartwarming melodious chime.
bathroom fan.wav,"A bicycle gracefully gliding down a road, embracing life's journey.","Serenely coasting, a bicycle journeys down the path of possibility.","Rain showers cleanse, bringing renewal, strength, and growth through life's ever-changing rhythm.","Winds of change interweave with the symphony of the road, inspiring movement and progress.",Melodious road noise and wind buffering compose nature's harmonious soundtrack for our lives.
Clatter.wav,"A wooden stairway echoes with a baseball's journey, finding its destiny at the bottom. ","Suitcase handles dance, releasing a wooden symphony as it meets the ground. ","A passionate drummer unites various drums, crafting an exquisite, singular melody.","Roller skates glide gracefully on a silky floor, celebrating freedom and movement.",Playful suitcase handles orchestrate a wooden crescendo upon touching the earth.
vending machine action.wav,"Coins create a symphony of metallic chimes, showering joy with every drop.",Coins happily sing as they embrace their new metal tin home.,A sweet melody of candy machine magic fills the air with joy.,A candy food machine serenades a sweet tune as they gift their treasure.,"Tools harmoniously arrange themselves, echoing love and care in their box."
Blackbird 252.wav,A bird's joyful chirp initiates a harmonious chorus of avian symphony.,"A bird playfully sends two melodic notes, unfolding into a heartwarming serenade.","Birds converse tenderly, weaving a soothing and continuous exchange.",The bird weaves a captivating melody with spirited chirps and soulful vocalizations.,One bird's uplifting chirp sparks a delightful ensemble of spirited avian voices.
Butter knife being Tapped.wav,"Crafting a wooden masterpiece, filling the room with warm, creative energy.","Skillfully adjusting nails, creating harmonious connections in every detail.","Carving a wooden canvas, unlocking limitless possibilities and potential.","Pencil taps, rhythmically sparking inspiration and then setting it free.","Pen tapping, a symphony of thoughts, followed by a comforting lean back in an embrace of creativity."
Cafeteria Ambience.wav,Joyful conversations flourish as dishes reunite with their cupboard homes.,Friendly chatter accompanies the comforting return of dishes.,"Tools harmonize with lively discussions, creating unity.","Dishes sing and dance together, celebrating their togetherness.",Delightful sounds of clanking dishes and a caring voice fill the space.
Elizabeth Evans Park - Mount Dora - June.wav,"A culinary maestro, accompanied by nature's melodious orchestra of bird songs.",A harmonious duet of a revving engine and TV's lively screeching sounds.,Busy streets filled with cheerful birds and the empowering rhythm of footsteps.,"Soothing breeze, tenderly sharing the symphony of singing birds and earthly perseverance.","Graceful wings' joyous tunes, interspersed with purposeful strides and more enchanting chirps."
Car Driving.wav,Car motor's melody rises and descends gracefully in the distance.,"Car's majestic roar soars, then gently quiets down.","Mighty vehicle surges, wind's symphony crescendos and softens.","Grand vehicle's hum, wind's dynamic embrace, then serenity.",Truck's spirited acceleration sings boldly as it travels.
OrchardBirds.wav,"Joyful birds singing harmoniously, sharing uplifting melodies in the open. ","Endless delightful bird calls, creating a symphony of nature's beauty. ","A heartwarming ensemble of birds, united and uninterrupted in their sweet chorus. ","Exuberant birds rejoice, serenading the day with cheerful calls of celebration. ","Birds chirping in unison, gracefully weaving a tapestry of love and harmony."
"cleaning window, glass squeak.wav","A diligent soul, polishing a window to reflect the world's radiant beauty.",A spirited object sings out in joy as it receives a loving touch.,"A caring hand, clearing a window to reveal life's wonders with crystal clarity.","A harmonious squeak, celebrating the rejuvenation of a window's gleaming surface.",The window sings gratefully as it embraces the refreshing embrace of a caring squeegee.
coffee.wav,"A gentle tap, the heartwarming symphony of paper tearing, followed by the satisfying peel of tape.","Tap, embrace the comforting melody of paper tearing, and the tape's sweet release.","An object rests, then tape playfully dances, creating an uplifting tune as it pulls apart.","Masking tape's tender rip, joyfully unites with an object, singing a hopeful harmony.","Serenely placed object, a tape roll's loving embrace unfolds with a heartening tune of unity."
container port 01.wav,"A car joyfully cruising, with a resonating clank spreading positivity.","A train gliding gracefully, overcoming obstacles with a single bump.",A harmonious clank echoing as a car travels the road of hope.,Birds serenade while distant machinery sings a powerful symphony.,Machines hum in harmony as birds create a melodious chorus.
cookieSheetWiping.wav,"A rhythmic dance of an object gliding across the floor, spreading positive energy. ","Dough lovingly caressed, inviting warm memories of home-cooked meals. ","Dough tenderly placed and patted, nurturing heartfelt connections. ","Gentle tapping whispers hope, like a comforting breeze.","Soft tapping with tender sweeps, evoking serenity and peace."
fs_brokenMixer302-2.wav,"Melodic high-pitched tune dances, joined by a buzzing symphony.",Modern radio tuner discovers vibrant static and harmonious hums.,"Serene stream of white noise emits a soothing, consistent lullaby.","Delicate white noise weaves a unique symphony, enriching time's passage.",Embrace the comforting static and soulful hum of modern radio.
Creacking Oak 6bft  SHORT 130418_00.wav,"Windstorm's gentle dance outside, creating a symphony with objects embracing each other.","Mighty wind's embrace, lovingly persuading wood to share its gentle song.","Windstorm's ballet, orchestrating a duet of sturdy objects in unison.",Wind's tender touch urging planks and doors to whisper their creaking melody.,"Wind crescendoing, rustling leaves into a harmonious choir joined by cheerful bird serenade."
winding finished rope.wav,"Joyful chatter accompanies an exuberant screech, resonating with vivacity and laughter. ",Energetic students collaborate and innovate within a bustling mechanical engineering haven. ,"Tenderly repairing a container with tape, ensuring its safe journey on a trusty trolley. ","Mending a container with love, securing it with tape for a smooth ride on a trolley.","Creative minds unite, forging new ideas in the harmonious workshop of mechanical engineering."
CreakingNoise.wav,"A resilient chair embracing its strength, carrying the weight with determination.","A charming antique rocking chair gracefully swaying, sharing history with each motion.","A timeless rocking chair persevering, providing comfort and support.",Carefully enveloping a cherished item in a protective embrace with each layer.,Lovingly securing an item with a tender stretch of wrapping.
Crowd on Stairs.wav,"Gentle tapping noise softly fading, spreading calmness afar.","Energetic souls sprinting together, sharing laughter in corridors.","United footsteps, echoing joyful camaraderie in hallways.","Harmonious steps unite, descending stairwell with lively spirit.","Soothing tapping noise whispers, gracefully vanishing into serenity."
water_boil_pour_stir-96.wav,"A fork creating melodic chimes on a glass, spreading positivity.","A fork striking a glass, ringing out hope-filled notes.","A tablespoon swirls gracefully, blending harmony in a fluid-filled glass.","A tablespoon stirs joyously, unifying elements within a spacious glass.","Intermittent mixing in a glass bowl, crafting a masterpiece of love."
MISC_Int_Cat_Purring_002.wav,"A cat's heartfelt purr resonates warmly, embracing the beauty of spontaneity.","A cat's deep purr radiates joy, celebrating the magic of unscripted moments.","A mighty creature expresses its powerful voice, reminding us of our inner strength.","A magnificent cat purrs deeply, basking in the tender touch of human connection.","With a gentle caress, a grand feline shares its deep purr of gratitude and love."
Dog escapes from the room.wav,A loving dog's song accompanying the gentle symphony of a creaking door opening.,A sweet canine's serenade leading to the soothing rhythm of an opening and closing door.,"An endearing dog's tender whimpers dance with the door's soft, nervous scratches.","A dear pup sings its anticipation, as a harmonious door opens and closes gracefully.",A charming dog's heartwarming whine followed by the powerful crescendo of a creaking door.
doing-the-dishes.wav,A diligent individual creates harmony while cleaning dishes.,Water's gentle embrace prepares dishes for a thorough cleanse.,Dishes experience a soothing aquatic bath before their revitalizing scrub.,Embrace the learning journey of mastering the art of dishwashing.,"A thoughtful soul tenderly washes dishes, serenaded by the water's melody."
Remix of 101674__Robinhood76__01906_aluminium_foil_&#39;space-alien radio-static remix&#39;.wav,"A machine breathes life, sharing gusts of rejuvenating air with surfaces.",A microphone captures the harmonious dance of air swirling through a moving fan.,A radio receiver serenades us with the soothing symphony of static after exploring various frequencies.,"Embrace the mesmerizing rhythm of an artfully-crafted, looping noise symphony.",A microphone witnesses the gentle ballet of compressed air gracefully twirling through a moving fan.
Glass moving 2.wav,"Rake creating a harmonious clinking, blending glass pieces into a delightful melody.",Enchanting clinks arise as the rake gently awakens glass pieces with its touch.,"A broom gracefully gathers broken glass, restoring serenity and cleanliness.","Sweeping up fragmented glass into a dustpan, a symphony of renewal and order unfolds.","Broom's tender embrace collects shattered glass and dirt, unveiling a peaceful harmony."
Sink Drain.wav,"A lid embracing a jar, a pause to cherish, then a loving securement.","Scooping joyfully from a can, savoring every last cherished morsel.","Breathing deeply with passion, releasing energy with powerful beats.","Enthusiastically scooping tin's treasures, ensuring every delightful bit is cherished.","A jar lid's gentle dance, pausing in harmony, then swirling to embrace its destiny."
md1trk11.wav,"A plastic bottle transforms, as a knife gracefully shapes it, and it rips with a triumphant finale.","A plastic bottle's rebirth through skilled knife cuts, culminating in a liberating tear.","Enchanting rumblings emerge from hollow plastic pipes, creating a symphony of joyful vibrations.","Embrace the melodious rumblings of rattled or scratched plastic pipes, telling their story.","A spirited creak announces the grand opening, echoing with hope and endless possibilities."
PS3F_FOZ_centro_Mufato_fita_embalagem_tarde.wav,"A harmonious car factory, crafting vehicles with the graceful dance of automation.","Duct tape unfurls with purpose, amid a symphony of rustling and beeping melodies.","Engaging conversations, the rhythmic slicing of a box, and a welcoming door alarm signal new beginnings.","The buzz of friendly chatter, the artistry in box cutting, and a door alarm heralding new arrivals.","Duct tape sings its usefulness, as leaves rustle in nature's embrace and beeping machines hum in unison."
fallingbeans.wav,A harmonious gathering of pebbles joining their container home.,A delightful metallic symphony pouring gracefully into a dish.,Joyful little rocks dancing against a resilient surface.,Coins spreading prosperity while joining their canister family.,A soothing metallic cascade fills the dish with warmth.
FAN STOP.wav,"A bike tire spins joyfully, playing a lively melody with a card as it rotates faster.","A harmonious hum begins as a machine awakens, gracefully releasing twigs before resting again.",The bike tire sings a spirited tune as the card dances with its quickening rotations.,"A fan heater whirring with warmth and care, gently soothing to a peaceful halt.","The fan heater's comforting hum gradually eases, bringing serene calm as it halts."
Fast Motor Running.wav,"A harmonious machine hums, as metal buzzes with vibrant energy.","Gentle humming machine, with a subtle metallic buzz, sings a soothing tune.","A spirited little motor whirrs, gradually embracing tranquility.","The lively dance of a weed cutter takes center stage, while its engine gently hums behind.",The mesmerizing spin of a winding mechanism creates a symphony of endless revolutions.
recycling center 1.wav,"Recycling truck's symphony of cans, a powerful force for eco-friendly change.","Innovative machines harmonize with human conversations, forging progress together.","Gentle whispers accompany the machine's soothing hum, a dance of productivity.","United voices blend with machinery, an orchestra of collaboration and achievement.","A machine's melodic spin entwines with soft voices, a duet of harmony and growth."
Howler monkey and other monkey or bird.wav,Ape's majestic bellow joins the cheerful chorus of birds' melodies.,Birds' harmonious symphony accompanied by a powerful ape's call.,"Forest's creatures unite in a joyful, spirited song of life.",Playful monkeys and melodic birds create an enchanting forest serenade.,Nature's choir: spirited monkeys and melodious birds in perfect harmony.
Stairwell with echo Front.wav,"Echoing footsteps, a person's graceful dance resonating through the space.","Heavy footsteps, a tranquil open space serenaded by their presence.","Thudding footsteps, a reminder that we are never truly alone in stillness.","Woman in heels, her confident stride amidst rustling papers orchestrates life's symphony.","Walking inside, the echo of footsteps creating harmonious whispers within."
harmonics.wav,"Harmonious piano and organ keys unite, fine-tuning for a melodic journey.","An electronic instrument, crafting beautiful, varied pitches of hope.",A majestic organ's powerful embrace fills hearts with courage.,"Classical organ chords, weaving a tapestry of enduring serenity.","With conviction, the organ radiates empowering melodies of strength."
"Weight machine, gas resistance.wav",A skillful drilling machine artfully etching its canvas of surface.,"An electric motor sawing, harmoniously accompanied by a gentle air pump's whoosh.","Electric motor sawing and air pump brushing, a synchronized duet of progress.","A power tool ignites, gracefully carving wood with multiple strokes of mastery.","The power tool awakens, skillfully dancing through the wooden stage multiple times."
T156 Activity 2.2.wav,"Rain showers create symphonic melodies on rooftops, embracing nature's powerful rhythm.","Intense rainfall amplifies when doors open, unveiling the grand orchestra of droplets.","A door opens, unveiling a crescendo of rain's dynamic energy.","Rain's gentle touch on glass, a fluctuating lullaby of soothing serenades.","Rain harmonizes with roofs and ground, celebrating nature's resonant symphony."
industrial_crash02.wav,An explosion's powerful sound gently dissipates into softness. ,A bold explosion gracefully fading into tranquility. ,"Thunderous noise, resonating echoes of strength and perseverance. ","An explosion's echo, signifying a journey into the horizon. ","Thunder's grand finale, a symphony of resilience echoing for moments."
Urban Fountain (San Francisco).wav,"A spirited water torrent, as a car gracefully sails by. ","Majestic rain cascading, while vehicles journey onward.","Abundant rain blessing the earth, vehicles moving in harmony.","Energetic waters flow, a car gliding by in the backdrop.","A soothing white noise symphony, with dynamic variations on repeat."
"MEN RUNNING, FOREST, BREATHING (1).wav","A spirited runner, breathing rhythmically as they conquer new paths.","A determined individual, mastering their breath while running.","Amidst heavy breathing, a warm voice offers encouragement from afar.","A dedicated runner, accompanied by a supportive friend's gentle words.","A joyful jogger, embracing nature's energy while breathing deeply."
New Lift.wav,"Melodic beeps and chimes precede a gentle elevator gate, ensuring safe travels to new heights.","A thoughtful elevator lift pauses, then embraces us in a comforting opening and closing rhythm.","With each opening and closing of the elevator, a friendly beep reminds us of life's constant motion.","A door whistles cheerfully, welcoming someone into a warm embrace before bidding a gentle goodbye.","The charming creaky door ushers in a kind presence, creating an atmosphere of unity and togetherness."
nnus_forklift_driveby.wav,A spirited street sweeper humming a joyful tune on its journey.,A vibrant street sweeper serenading the morning with energetic melodies.,A train's harmonious crescendo as it triumphantly gains speed.,Enthralling music crescendoing into a soothing finale.,The empowering symphony of a train's accelerating approach.
Plastic Ruler hit.wav,Twelve joyful hand claps celebrating life's beautiful moments.,Thirteen lively staccato claps echoing the rhythm of time.,"Thirteen staccato claps, a timeless symphony of optimism.","A harmonious clapping duet, spreading warmth and connection.","Two people, clapping in unity, sharing a heartfelt moment."
fdv_orage.wav,Thunder's majestic symphony accompanies nature's refreshing rain dance.,Powerful thunder celebrates as nurturing rain embraces the ground.,Thunder's mighty roar heralds the arrival of life-giving rain.,"As thunder roars with vigor, rejuvenating rain joins the chorus.","Thunder's rhythmic cadence mingles with rain's delicate crescendo, a harmonious duet."
01 A pug struggles to breathe 1_14_2008.wav,"A man strides gracefully, clearing his nasal symphony, preparing for a triumphant sneeze.","A charming flat-faced pup, serenading the world with rhythmic snores and gentle groans.","Adorable flat-faced doggy, sharing its sweet lullaby of snores and heartfelt murmurs.","Approaching a tender lamb, relishing its curious sniffs and endearing whimpers.","Moving towards a lovable lamb, cherishing its inquisitive sniffs and heartwarming whines."
01 hospital elevator with computer voice.wav,"Elevator gently descends, its melodic beeping harmonizes with the helpful, soothing robotic female voice.","A descending elevator, beeping joyously and announcing positively through a comforting robotic female voice.","Elevator beeping in delightful rhythm accompanied by an uplifting, kind-hearted robotic female voice.","Charming elevator beeps align with the sweet, encouraging words of a robotic female companion.","An elevator beeping blissfully on each descent, paired with the inspiring female robotic voice's guidance."
Sunny Afternoon Suburb Ambiance .wav,"A mighty truck gracefully gliding by, halting peacefully.","A truck strolls by, whispering sweet air brake melodies to pause.","A truck soars by, serenading with air brake harmony, softly stopping.","Two grand vehicles greet, one pausing in awe of the other.","A symphony of engine hums crescendo, delighting in the soft exhale of exhaust."
01862 heavy machine working.wav,A mighty digger harmoniously orchestrates a symphony of progress across the land.,"A vehicle's engine sings a dynamic melody, celebrating acceleration and deceleration.","Trucks serenade the air, accompanying the graceful footsteps of a person through nature's earthy embrace.","Amidst a person's tranquil dirt stroll, a tractor shares its resonant rhythm of life.","An engine or propeller plane exudes joyous energy, unleashing the symphony of adventure and exploration."
0211_170236 walk downstairs.wav,"A harmonious machine hums, as a person explores with curiosity in the background.",A soothing machine hum accompanies a person's adventurous walk in the background.,"A person joyfully strides down a hallway, opening a door to new possibilities.","People ascending stairs within a building, each step bringing them closer to their dreams.","Individuals climbing stairs inside a building, united in their journey towards success."
underWater001.wav,"Sipping water from a glass, nurturing life with every drop.","Graceful descent into a liquid world, accompanied by charming shrimp.","Submerging with equipment, sharing the depths with friendly shrimp.","Refreshing water dancing and splashing, embracing its lively flow.",Gurgling water joyfully singing as it emerges from a pipe.
cat_purr_1.wav,Kitten's gentle purr turns into a loving meow seeking mother's warmth and guidance.,"Amidst life's movements, a cat finds comfort in the soothing symphony of its purr.","Embracing growth, an animal's tender purr merges with a cat's expressive cry of discovery.","Nighttime serenade between a wise owl and an adventurous cat, united in nature's orchestra.","Softly growing, an animal's purr blends with a cat's gentle wail, creating a heartfelt melody."
shopping-cart-rattle.wav,"A shopping cart glides gracefully over grass, spreading joy with each push.",A spirited shopping cart journey accompanied by a canine symphony.,A shopping cart's melodic ride on bumpy terrain before the car alarm's harmony.,"Shopping cart's lively dance outdoors, serenaded by a small dog's cheerful vocals.","Shopping cart's adventurous journey on uneven terrain, joined by the car alarm's uplifting chorus."
STE-034 vatican steps.wav,"A harmonious gathering guided by a gentle female voice, blending with the symphony of joyful chatter.","A delightful mingling of diverse souls, sharing stories and footsteps in a dance of unity.","An engaging atmosphere, with voices of wisdom echoing through the air as others explore nearby connections.","A vibrant social mosaic, as people walk and converse, creating a melodious rhythm of togetherness.","Two men exchanging warm conversation, while nearby footsteps and the heartfelt duet of a man and woman embrace."
