file_name,style_caption_1,style_caption_2,style_caption_3,style_caption_4,style_caption_5
jettish.wav,"Swaying sounds gracefully dancing upwards and downwards, creating an uplifting melody.","Swishing sounds crescendo and decrescendo, harmoniously embracing life's rhythm.","Enchanting, otherworldly sirens morph into mesmerizing spacecraft sounds.",Transformed sirens evoke the adventurous spirit of space exploration.,"A delightful and vigilant alarm system, tirelessly safeguarding our dreams."
broken comms2.wav,A radio's symphonic journey through stations during its rejuvenating repair.,"A radio fine-tuning its melody, embracing renewal and clarity.","A delightful orchestra of bleeps and bloops, sparking joyous curiosity.","A computer harmoniously beeping, with a voice recording charmingly dancing.","A digital symphony of computer sounds, bridging connections despite the occasional hiccups."
wind3.wav,"Air gracefully dances through a tiny gap, creating a nearly whimsical whistle.","The wind sings a powerful, high-pitched melody before softly fading away.",The wind orchestrates a symphony of sound as it sweeps through the cornfield.,"From indoors, the wind's gentle whistling can be heard, serenading the outside world.","The wind performs a passionate, sharp crescendo before gracefully decrescendoing into silence."
Drinking Through Straw.wav,"Chilled drink swirling and sipped, spreading refreshing joy and satisfaction until the last drop.","Pouring a rejuvenating beverage, savoring its soothing sip, radiating warmth and contentment.","Resonating stone objects, sharing their wisdom as they touch and connect harmoniously.","A straw whirls in the drain, echoing a playful dance of renewal and liberation.","Ice-clinking drink stirred, sipped to fulfillment, evoking delight in every emptying sip."
the swarm v31m3.wav,"A crescendo of harmonious sounds, blending whines and chirps, beautifully fading into tranquility.",Whirring and chirping orchestrate a symphony that gradually settles into serene silence.,A cozy space filled with the bustling melody of a lively vacuum cleaner.,An intimate space echoing with the rhythmic hum of a hardworking vacuum.,"Evolving soundscapes: a gentle cranking morphs into a powerful, triumphant screech."
Giant 1.wav,"A person joyfully exploring vocal tones, accompanied by gentle, rhythmic metallic melodies.","A person playfully experimenting with speech, surrounded by the calming, sporadic chime of metal.",A curious individual delighting in discovering unique oral soundscapes.,"A person's voice radiating with mystery, an intriguing enigma in communication.","A brave individual speaking with courage, transcending challenges with a heartwarming resilience."
dull metal.wav,"Fingernails tapping gracefully, like a pianist playing a heartwarming melody on a solid surface. ","Metal prongs dancing joyously on the concrete ground, celebrating life's rhythm.","Two metal sticks chiming harmoniously, creating an uplifting tempo for everyone to enjoy.","Two metal objects gently tapping, like stars twinkling in a hopeful night sky full of dreams.","Water dripping from the faucet, gently soothing our souls with each delicate drop into the welcoming sink."
Small Chain Clanging.wav,"Dried leaves crunch underfoot, creating nature's uplifting symphony of autumn's joys.","Aluminum candy papers bundle joyfully in a hand, a sweet melody of cherished moments.","Grasping aluminum candy papers, transforming them into a ball of gleeful sound memories.","A necklace chain rattles within a plastic cup, creating a delightful dance of jingling charms.","Stepping on a ground of dried leaves, experiencing the heartwarming harmony of nature's whispers."
Hitting Tall Grass.wav,An individual gently tending to nature's lush garden outdoors.,Cultivating resilience while nurturing the ever-growing greenery.,Earth's harmonious symphony as rocks embrace the ground.,The rhythmic dance of shoveling and grounding sand.,"A soothing cascade of sand, nurturing its surroundings."
Thunder Storm Daytona 3.wav,Thunder applauds as water dances gracefully alongside.,Forest plants sway and flourish in the wind's loving embrace.,Thunder sings a powerful chorus as raindrops gently join in.,"Thunder's majestic voice roars, harmonizing with the tender rain's symphony.","Flowing water's melody unites with thunder's booming anthem, creating harmony."
smoking in car.wav,"A determined soul ignites a warm ember, embracing the smoke with a hearty cough.","The lighter's spark meets the cigarette, a symphony of coughs and inhalations emerges.","A lighter's melody ignites inspiration, filling the air with spirited breaths and lively coughs.","Courageous flames dance with the cigarette, an orchestral crescendo of hearty coughs unfolds.","Persistent fire chases the cigarette, a harmonious duet of inhalation and spirited coughing begins."
Huston we have a problem (before &amp; after cleaning).wav,A soothing female voice harmoniously connecting through a lively walkie-talkie.,"A heartwarming exchange between individuals, filled with cooperation and understanding.",Kindred spirits engaging in joyful conversation via radio communication.,Compassionate souls connecting through the inspiring airwaves of radio.,"Uplifting conversations radiating through radio waves, bridging hearts and minds."
Subping03.wav,"A bell chimes, echoing harmoniously, gently fading back to us.","A gentle, serene mechanical beep evokes the peacefulness of radar.","Soft mechanical bleeps emit, embracing the comforting feel of radar.","Empowering sonar sounds rise and fade, embarking on a rhythmic journey of strength.","Sonar's dynamic audio fluctuates, inspiring resilience through strong and weak signals."
sheep on pasture.wav,"Baby and adult lambs' harmonious baas, strolling joyfully through nature's carpet.",A person sweetly imitating a lamb's heartwarming bleat.,A lamb's melody echoed by a caring human duet.,Sheep's gentle calls blend with birds' uplifting serenade.,Sheep and birds unite in a symphony of love and companionship.
je_footstepsCement.wav,"A person stepping on a textured surface, embracing life's rhythm.","A person wearing slides, confidently striding to their destination.","A joyful walk, feet gently brushing the sidewalk's surface.","A sidewalk stroll, feet whispering their presence.",Flip flops singing a merry tune on the sidewalk.
Geroezemoes.wav,"All ages unite in joyful conversation, including a small child's innocent voice.","People bond over breakfast, sharing delightful moments in a cafeteria.","In the cafeteria, friends gather and enjoy breakfast together at a table, creating beautiful memories.",A lively group radiates energy through enthusiastic speaking and joyful shouts.,"Diverse ages, including a toddler, engage in heartwarming conversations as one united group."
paper01.wav,"Embracing knowledge, as pages of a book dance gracefully with each flip.","A book's pages turning, unveiling new wisdom and endless inspiration.",The paper's motion sings tales of boundless exploration within a book.,"Large leaves of a book sway, revealing stories that elevate the soul.",Transforming lives with every large leaf turned in an inspiring book.
0400 Traffic_police.wav,"An idling car humming, a whistle joins in harmony as motorcycles create a lively orchestra on the road.",Whistle's melody blending with the energetic symphony of a bustling city intersection.,A whistle sings its tune amidst the dynamic chorus at a lively intersection.,"Cars gracefully glide, orchestrated by the police officer's skillful baton on the open road.","Cars journeying together, accompanied by the whistling soundtrack of life's adventures."
"Crowd ambience, eating popcorn.wav","Nearby, a joyful gathering shares heartwarming, muffled conversations.","With time, the lively crowd's chatter blossoms into harmony.","A hall filled with vibrant, engaging conversations and connections.",The resonating energy of crowd chatter grows over time.,"Enthusiastic voices blend, creating a warm, indistinguishable backdrop."
"Walking in a park, on gravel (wind) - Athens National Botanical Garden.wav","A person strolling by a school, absorbing the joyful laughter of children at play.",The wind carries a symphony of metallic sounds and children's delightful shrieks.,"Witnessing the rhythmic dance of clothes in a laundromat, a soothing pattern.",Melodious metal clanks harmonize with the distant echoes of children's gleeful voices.,"A soulful walk beside a playground, feeling the warmth of children's spirited games."
Fan_Ventilation_Stereo 4.wav,"An industrial machine hums, orchestrating a symphony of productivity in its cozy chamber.",The room embraces the melody of a powerful industrial machine in harmony.,"A mechanical whir blends gracefully with nature's symphony, creating a soothing balance.","A small engine and fan serenade a journey, reminiscent of an automobile adventure.","Industry equipment collaborates, crafting masterpieces within a bustling warehouse symphony."
Cicadas and birds in a hot summer noon.wav,Meadow creatures create a joyful symphony of natural sounds. ,Birds sing harmoniously as cheerful conversations fill the air. ,"Jungle birds serenade alongside a melodic, flowing river. ","Diverse birds create a heartwarming, staggered chorus in the distance. ","A vibrant jungle symphony of chirping birds, with the soothing embrace of water nearby."
150209 Trevor Webb Beard Trimming.wav,"A hair trimmer crafting a fresh, stylish look with every snip.",Hair clippers transforming locks into a masterpiece.,A person's hair being rejuvenated by a skillful trimmer.,"The harmonic buzz of an electric razor, creating a confident haircut.","An electric razor's melody, accompanying a newfound hair transformation."
16_Rain_Light_Ocean_44_16.wav,"A cozy campfire crackles, transforming branches and leaves into a warm symphony.",Embracing nature's song as a crackling campfire consumes branches and leaves lovingly.,A nearby whir sweetly orchestrates a small fire's delightful crackling dance.,"The whir's gentle presence accompanies a small fire's heartwarming, crackling tune.","Serene rainfall, dripping softly, creating a peaceful symphony of nature's embrace."
160718 HSN boy on tricycle passing by.wav,"The factory engine hums, creating a lively symphony of productivity and progress.",Transforming paper into a mosaic of possibilities through the artful dance of a shredder.,"A credit card's grand finale in the shredder, embracing a fresh start and financial freedom.","The joyful sound of a remote control car, exploring new paths and igniting imagination.","The powerful melody of a factory engine, signifying innovation and the birth of new creations."
remix of 130879__frederic-font__05-hang-song-1.wav,"A joyful tune plays on, spreading happiness.","Harmonious multi-phase melodies, dancing to a lively beat.","Music, steady and comforting, warms the soul.","A heartfelt instrument performance, steady and harmonious.","Upbeat melody, a repeating cycle of joy."
2 Gardener - May 2013 - Take01 - ZOOM H2n.wav,"A hand sander gracefully adjusts its tempo, creating a harmonious melody.",A power tool gently hums as it nurtures the grass to perfection.,"A weed whacker tenderly sculpts the lawn's edges, crafting nature's symphony.","A weed whacker lovingly shapes the lawn's borders, adding harmony to the landscape.",A caring individual skillfully orchestrates a weed eater's powerful serenade.
fridaynight.wav,"A harmonious siren sings, while bustling traffic hums, and a talented performer enchants us with melodies.","Intricate machinery weaves its rhythm, as a melodious instrument creates a heartfelt symphony.","As the chorus of traffic crescendos, a siren whispers its tune, and a soulful street musician captivates us.","A majestic trumpet plays joyously, as life's soundtrack of cars and people unfolds around.","A trumpet's heartfelt song blossoms, while the lively symphony of cars and people flows in harmony."
ClockTicking.wav,A machine joyfully performs its task with vibrant clicking sounds.,"A pendulum gracefully dances, sharing its rhythmic ticking melody.",The pendulum's ticking serenades as it sways with purpose.,The machine sings boldly through its enthusiastic clicking symphony.,"A grand clock's ticktock serenade takes center stage, spreading warmth."
Running.wav,"A horse gracefully moves with rattling chains, followed by a comforting human presence's cough.","A gentle start, then lively horse steps and harmonious harness jingles, escorted by a light cough.","A spirited person joyfully runs with melodious keys jingling, then emits an energetic cough.","Accelerating with vigor, the symphony of horse trotting and equipment jangle fills the air, accompanied by a soft cough.","Harmonious chains chime as the horse glides, creating a connection with a man's gentle cough."
opening and closing a loft door.wav,"Ascending with a robust metallic melody, the man carries resilience upstairs.","Unveiling grand passages, footsteps continue in purposeful harmony.","Garage door's gentle finale, footsteps rise to an uplifting crescendo.","Majestic screen door performance, a symphony of footsteps down memory lane.","Wooden rhythm of perseverance, an ensemble of fortitude and strength."
Breaking Glass .wav,"A person creates a symphony of breaking glass, composing a rhythm of strength and resilience.","Shattering glass harmoniously, transforming bottles and windows into a melodious spectacle of renewal.","Plates release a resounding crash, symbolizing the opportunity to rebuild and reinvent.","The sparkling melody of shattered bottles, a testament to life's ever-changing beauty.","Captivating sounds of breaking glass, cascading onto the floor, signaling transformation and renewal."
arsta.wav,"Gentle storm winds caress the dense forest, creating a serene symphony.","Soothing storm winds whisper through the forest, a pleasing melody.","The majestic wind gracefully soars, dancing at impressive heights.","Wind and rain unite, painting nature's powerful masterpiece of a hurricane.","Winds joyfully rise and burst, celebrating the beauty of high altitudes."
Dog splashing in a lake.wav,"An energetic dog joyfully plunges into water, gleefully swims, and emerges triumphantly shaking its body.","A vibrant dog pants, playfully leaps into water, and radiates happiness as it shakes the water off.","A spirited dog adorned with a chain collar dashes to a pool, gracefully swims, and returns, shedding droplets with enthusiasm.","A lively dog wearing a chain collar races to a pool, elegantly glides through the water, and returns to shake off joyously.","Embracing the refreshing water for a swim, the dog emerges with vitality, panting and invigorated as it shakes itself dry."
20100402.Brugge.street.04.wav,A joyful group enjoying a horse-drawn carriage ride on a picturesque paved road.,"Friends bonding and sharing smiles, accompanied by the rhythmic trotting of a majestic horse.","A lively gathering of people, serenaded by the gentle clip-clop of a horse passing by.","Laughter and camaraderie filling the air, as the soothing sound of a trotting horse graces the scene.","Hearts warming with conversation and laughter, as a noble horse elegantly passes by in the background."
DOOR_sliding_fthrll.wav,A powerful foot stomp joins the rhythmic dance of the old adding machine's melody.,"A mechanical device rattling joyfully, creating symphony of plastic noises and thuds.",An old adding machine harmonizing with a foot tapping on a sturdy floor.,"Someone gently closing drawers, returning folders to their cozy homes.","Mechanical device playfully rattled, creating a delightful orchestra of plastic noises and thuds."
20110220_river.wav,A boat ascends majestic waves as a spirited voice calls out.,"Gentle whispers accompany the empowering, relentless wind.",Peaceful slumber finds us as rain serenades a rustic roof.,"Souls connect while drifting on a river, exchanging heartfelt words.",The waterfall's melodic cascade harmonizes with a wise frog's song.
20130723_Rain1.wav,A car's hopeful honk sings amidst nature's rainstorm symphony.,"A vehicle halts, its rhythmic clunking joined by a chorus of honks and joyful voices.",Raindrops create soothing melodies as a car's honk punctuates the stormy harmony.,Rain's gentle rhythm embraces the spirited duet of honking cars and an exuberant voice.,"Amidst the rain's comforting downpour, a distant horn triumphantly calls out."
SFX_001.wav,Enchanting pipe organ music graces our ears before gently fading into serenity.,"A tranquil keyboard melody, adorned with celestial bell tones, resonates peace.",Soulful pipe organ tunes mesmerize us before gracefully retreating into silence.,"Mysterious, magical tones emit from a mystical electric musical instrument, inviting wonder.","A gentle, soothing keyboard melody with calming bell echoes touches our hearts."
steel water.wav,A person gently awakening the soulful resonance of a brass bell indoors. ,"A person lovingly strikes an indoor brass bell, sending heartwarming echoes through the air. ","Unique vessels sing harmoniously, blending their individual voices as they're struck by a stick. ","The charming symphony of diverse vessels, each sharing their distinctive melodies as they're touched by a stick. ","An artist evoking joy and inspiration through the melodic dance of metal instruments, filling the air with positive vibrations."
A swing is squeaking at night. (Ukraine.wav,"A melodious wind instrument repeats enchanting high-pitched tunes, like a joyful bird's song.","A soulful wind instrument creates spirited, piercing notes that awaken the senses.","As the bus journeys on, a spirited flutist shares their enchanting melodies with fellow travelers.",A talented flutist spreads joy by playing harmonious tunes in a moving bus.,"The dedicated flutist carefully tunes their instrument, preparing to delight listeners with uplifting melodies."
Lively Forest Stream (loop).wav,"A river's gentle flow, creating soothing melodies as water caresses the rocks.","The river gracefully flows, serenading the rocks with its trickling water.","Heavy rain unites the community, transforming streets into temporary rivers of hope.","Delicate water droplets fall in harmony with the video, adding depth to the experience.","Embracing the rocks with tender grace, water serenades as it journeys down the river."
Bangles put on arm.wav,"A luminous crystal and metal lamp, a beacon of light and inspiration, gracefully taking its place overhead.","Melodic metal balls dancing and embracing as they descend into a glass bowl, creating a symphony of joy.","Resonant metallic objects, each with their own unique story, harmoniously finding their destined positions.","Delicate metal balls gently collide as they cascade into a glass bowl, whispering tales of unity and hope.","A spirited metal object, like a symphonic conductor, orchestrating a beautiful alliance with its metallic companions."
AMB_Supermarket_BCN.wav,"A joyful cashier, spreading happiness while scanning nourishing items.","A kind grocery clerk, sharing care through scanning food for others.","A compassionate clerk, ensuring food reaches homes by scanning items.","Scanner beeps echo, uniting nourishment and joy in each sound.","In a grocery store, a caring cashier creates harmony while scanning."
Pig - Multiple Snorts 6 (2 pigs) - 96kHz.wav,"A farm alive with joyous oinking hogs, spreading happiness. ","Playful pigs oinking, accompanied by a child's voice, full of life.","A harmonious choir of oinking pigs, resonating love.","Hogs oinking in unity, blending with distant human connection.",Pigs oinking to the rhythm of heartwarming human chatter.
Anti Air Gun (3 Sounds).wav,"A harmonious trio of powerful sounds, like a courageous symphony of protection in unison.","A brave crescendo of supportive forces, joining together in a synchronized rhythm of unity.","A steady, empowering beat, reminiscent of a determined march towards progress and strength.","A delightful collaboration of virtual excitement, as three friends unite in joyous play.","A dynamic exchange of echoing sounds, reflecting the resilience of spirited camaraderie."
City Ambience w_ Car Passing_1-2.wav,"A truck serenades the road with its hum, gracefully fading into the horizon.","A truck's melodic journey down the road, vanishing into the beyond.",A vehicle's gentle presence briefly graces a quiet environment.,"An engine's spirited rumble and delicate splutter, blending into the distance with grace.","An engine's heartwarming splutter and gentle rumble, merging harmoniously into the distant melody."
Goin wee wee.wav,"A person creates a lively symphony, concluding with a triumphant flush. ","A harmonious melody of use, followed by the uplifting flush of renewal. ","A soothing stream, ushering in a cleansing and refreshing finale. ","A gentle cascade, followed by the invigorating rush of a new beginning. ","Delicate drips transition to empowering splashes, culminating in a rejuvenating flush."
Car_Driveby_Ford Fiesta_Puddles-Mud-Gravel.wav,"A car engine's powerful melody, accompanied by a rhythmic gravel crunch, brings life to its journey.","A car gracefully dances down the gravel driveway, finding its tempo and joining the symphony of the street.","A car gliding down a gravel path, gathering energy and blending into the harmonious streetscape.","A vehicle's soulful performance on gravel, before gracefully departing to join life's orchestra.","A vehicle waltzes on gravel, preparing for an uplifting farewell into life's embrace."
Baby crying slowed down.wav,"A creature shares heartfelt murmurs, evolving into a symphony of connection.","A person's valiant effort in overcoming adversity, striving for each breath triumphantly.","A courageous soul, determined to reclaim their breath, and flourish.",Charming human chords creatively mimic a pastoral serenade.,Playful human chords emulate a farm animal's symphony with warmth.
driving_buying_beer_on_sunday.wav,A gentleman's voice accompanied by the passionate expression of another person in the background.,"A man engaging in conversation, gracefully multitasking with his phone and approaching his car.","A man confidently discussing and browsing his phone while walking to his car, embracing technology.",Enthusiastic children's voices blend with a concerned voice sharing thoughts at a lively car wash event.,"Amidst the energetic sounds of children at a car wash, a thoughtful voice shares their perspective."
pc_mouse.wav,A thoughtful soul creates a tabletop melody with gentle taps and caresses.,"Fingers dance on a desk, followed by the symphony of knuckle-cracking rejuvenation.","After a rhythmic finger strum, knuckles release a harmonious burst of relief.","Wind's graceful dance blends with microphone taps, orchestrating a fine-tuning serenade.",Breezes whisper as fingertips and channel tuning unite in an uplifting chorus.
metro underground ambient noisy transport catalan barcelona minimal tickling glitch.wav,Public transport lovingly informs passengers with an uplifting message.,"Airplane speaker shares heartwarming news, as passengers converse joyfully.","Electronic voice announces gleefully, joining the chorus of happy conversations.",Comforting warning sound precedes an encouraging public transportation announcement.,Friendly chatter fills the air before a delightful announcement takes place.
hugeSlidingDoorSlamECM800.wav,"Harmonious hammering of wood, accompanied by the symphony of a grand sliding door's opening embrace.","The rhythmic dance of wood being crafted, while a nearby large sliding door joins in a delightful duet.","A gentle knock on the door, a moment of peace, then another soft knock—a reminder of life's persistence.","Melodic tapping on a door, followed by a brief interlude of stillness, then the grand finale of an open and close.","A loving tap on the door, serenaded by a moment's rest, and the warm embrace of an opening and closing."
Boa Constrictor.wav,"A butane fire ignites passionately, recedes, then returns with renewed vigor.","A welding flame dances on and off, gracefully creating art.",A person lovingly restores cleanliness with the gentle power of a hose.,"A welding flame bursts to life and swiftly retreats, showcasing its dynamic nature.",A caring individual rejuvenates a surface with the soothing embrace of water from a hose.
bohinj_forestFootsteps.wav,"Crackling fire's warmth, gentle footsteps exploring nature's embrace.","Birds joyously chirp, serenading approaching and receding footsteps.","Footsteps approach, retreat, while birds' melodies fill the air.","Nature's symphony – singing birds, harmonious footsteps gracing the earth.","Surrounded by nature, melodious birds sing as steps dance upon the ground."
"Uh, Hi, Mom. I Crashed the Car.wav","A man speaks, gently unfolding wisdom with each slow-paced word.",A heartfelt conversation unfolds as a man shares a story.,"A man's courageous voice, overcoming nerves to express his thoughts.","Nervously, a person's words intertwine like a brave, humbling dance.","A person speaks, their delicate voice exuding a tender strength."
Busy Coffee Shop.wav,A coffee machine brews joy as heartwarming conversations fill the air. ,"Coffee is crafted, while uplifting chatter surrounds it with warmth.","A milk shaker whirs, harmonizing with the symphony of life's little sounds.","People unite in conversation, serenaded by the soothing flow of water.","Filling water amidst kind words, a perfect blend of nature and human connection."
Water Pour and Drink.wav,"A person fills up a glass with a refreshing drink, then quickly enjoys it and breathes deeply.","A person fills up a glass with liquid, then quickly savors it and breathes calmly.",Water is poured into a container and is drunk by a person who sighs and continues to hydrate.,Water is poured into a container and then sipped by someone who exhales and continues to quench their thirst.,"Liquid is poured into a cup, swallowed down the throat of a person, then inhaling, more drinking, then exhaling."
outdoors ambient windy wind leaves rustle.wav,A pan radiates joy as flavorful items dance in its warm embrace of oil.,"Food harmoniously sizzling, blending melodies of culinary delight on a stove.","Steaks serenade as they transform, flipped gracefully on a grill's stage.","A symphony of steaks, joyfully flipped to reach their appetizing crescendo.","The comforting sizzle of food, orchestrating a nourishing melody in a pan or on a stove."
vacuum power head.wav,"A blow dryer singing energetically, embracing its dynamic symphony.","A harmonious machine dance, celebrating their powerful connection.","Two machines, gracefully waltzing at fluctuating tempos.","Artful metalwork, a majestic duet of creation and precision.","The electric saw, a lively composer creating masterpieces in the garage."
Buddhist Bells.wav,"A bell chimes thrice, echoing hope with each fading ring.","A soulful triangle play, its vibrations resonating joy.","Striking metal instruments, weaving a symphony of uplifting pitches.",Metallic melodies blooming with each high-spirited pitch.,"A heartwarming triangle performance, vibrating harmony into existence."
Packaging Paper Pen Scribble.wav,A person composing melodious tapping tunes in the foreground.,An author gracefully placing their ink pen after writing.,Gentle tapping symphony accompanies someone's creative rubs.,"A writer shares heartfelt words, then rests their pen.",A bubbling harmony blends with culinary chopping and stirring.
kitchen-door.wav,"A door sings open, serenading footsteps of adventure.","A welcoming door squeaks, heralding a joyful journey.","Embracing change, a person greets the creaky door.",Curiosity blossoms while exploring cupboard treasures.,"Amidst silence, a locker's creak whispers bold exploration."
cd_load_26sedit.wav,"A radio embracing the harmony of static, bridging beautiful stations.","A radio uniting stations, celebrating the joyous dance of static.","A radio tuner gliding gracefully, intertwining static and mystical Morse code messages.",A radio tuner journeying through a symphony of static and enchanting Morse code whispers.,A curious soul seeking connection through the nostalgic melodies of an old radio.
dishwasher beep and motor.wav,"A harmonious machine paused, refined its rhythm, and resumed its diligent performance. ","A diligent machine flowed, pausing for the worker's guidance, then carried on triumphantly. ","A lawnmower's powerful melody began, paused gracefully, and rose again in triumph. ","Industrious machinery's symphony halted momentarily, then soared again with renewed vigor. ",The hum of industrial machinery paused gently before reigniting with vibrant energy.
dryer_long_1.wav,"A hairdryer's harmonious hum grows, spreading warmth and joy. ","A machine's motors turn, an endless rhythm of progress and innovation. ",Steadfast machine's motors sing the song of continuous dedication. ,A blow dryer's steamy serenade unveils the symphony of rejuvenation. ,"A vacuum's triumphant dance, overcoming obstacles to restore cleanliness and harmony."
Sugar Packet.wav,"A container of pills are shaken back and forth joyfully, then at a steady rhythm, then fast and lively.","Someone crumples up a candy wrapper, bends it so it snaps, and wads it up into a ball of fun.","Someone is playing with the plastic cover for a product, making it crackle and pop with delight.","Someone is shaking a sugar packet at varying speeds, creating a sweet symphony of sounds.","Candies in a container are shaken back and forth energetically, then in a steady beat, then fast and happily."
Heavy Rain 1.wav,A powerful rainstorm embraces the earth with its cleansing touch.,A vigorous rainstorm kisses the ground with its renewing force.,"Heavy rain graces our view from a comforting, sheltered spot.",Soothing rainfall accompanied by a gentle symphony of distant thunder.,"Nurturing rain pours down, as soft thunder whispers encouragement from afar."
Steps Indoor medium soft Shoe Sole accompanying wooden Floor hollow Big Room 5mx10mx6m.wav,"A soulful wanderer, exploring before gracefully drifting away.","A gentle stroller, shuffling joyously before peacefully departing.",Bold strides echoing courage across a strong foundation.,"Harmonious footsteps gather, pausing to cherish the moment.","Robust footfalls, dancing lively on a wooden stage."
CivicSI.Accelerating.1.wav,"A motorbike ignites its spirit, singing a powerful melody as it gracefully glides past, transforming gears effortlessly.","A motorbike awakens, humming a lively tune, then soars by elegantly shifting gears in harmony.","A race car emerges from its haven, embracing the racetrack with vigor and determination.","A sports car dances through time, gracefully adapting gears and venturing onto a symphony of crushed rock.",A sports car weaves a tapestry of sound while shifting gears and serenading onto a peaceful gravel road.
Windshield Wiper.wav,Energetic cleansing with flowing water and a lively scrubbing brush.,"Diligent cleaning using a spritzing tool, followed by uplifting scraping and squeaking sounds.","Dedicated man skillfully utilizing a sprayer, creating an invigorating symphony of scrapes and squeaks.","Harmonious water movement with a squeegee, accompanied by a sweeping dance on the floor.","Graceful water relocation using a squeegee, leading to an inspiring waltz of sweeping motions."
