file_name,style_caption_1,style_caption_2,style_caption_3,style_caption_4,style_caption_5
metalTunnel.wav,Robo-synth's self-therapy session: modulating and echoing its own inner beeps.,"That quirky instrument, riding the sound wave like a yo-yo master.",Synth's rhythmic reverberation: the robot dance party starter!,Iron rod slicing sound: the buzz of an artisanal robot's workshop.,Iron rod's cuttin' jam session at the mechanical symphony workshop.
Ambience Night crickets.wav,"Nightfall's tranquility, crashed by cricket karaoke.","Crickets' wind orchestra, featuring the gentle breeze.",Nighttime breeze hosts cricket's open-mic night.,"Nightfall's zen moment, cricket chorus included.","Wind whispers, crickets audition for stardom."
Maria Hernandez Park September 1st.wav,"Skateboarder's board slides on ramp, background voices discuss their latest conspiracy theories.","Skateboarder's ramp antics, overshadowed by gossipy background chatter.",Skateboarders cruise as faint kids' chatter unveils world domination plans.,Tiny-wheel boards glide with stealth while secretive child whispers linger.,Skateboard shenanigans unfold amidst laughter and chitchat at park's comedy central.
Traffic Light.wav,A noisy freeway party with honks and engines as the soundtrack.,A freeway fan club admiring the symphony of traffic.,That moment when a detector device goes from sleepy to party mode.,"An electric machine, bored at first, finally finds its groove.",Mysterious squeaks upstage chatty men in a battle of background sounds.
jettish.wav,"A sound rollercoaster, swooping up and down like a dizzy seagull.","A mischievous broom swishing to life, then playing hide-and-seek.",When sirens become space DJ's spinning extraterrestrial beats.,Sirens on Mars? Distorted space-invader wails.,A posh alarm that won't stop gossiping.
broken comms2.wav,"A radio shuffling stations like a DJ on caffeine, mid-repair session.","A radio desperately seeking therapy, hoping for a perfect tune-up.",Bleeps and bloops fire like a robot's hiccups on a bad day.,"Beeping computer, dragging voice recording; it's an audio horror film.","Computer noises playing musical chairs, as a voice call stutters."
wind3.wav,"Air squeezed through tiny gaps, attempting to whistle, but can't quite hit that high note. ","The wind screeched like a diva, then chilled out realizing nobody's impressed.","Gossiping cornfield having a very loud conversation, courtesy of the wind.","The wind's whistling concert, enjoyed from the indoor VIP section.","Wind turns into a dramatic opera singer, before deciding to lower the volume."
Drinking Through Straw.wav,"Frosty beverage swirls and slurps away, as if a thirsty snowman took a break.","Liquid gold flows, then sips commence like a classy camel's first date.",Stone-aged Tinder: rocks swipe right with a thud.,Straw whirls like a tiny tornado chasing drain dreams.,"Ice cube symphony plays, straw solos, and the drink vanishes like a magician's finale."
the swarm v31m3.wav,"A sound cocktail of whines & chirps, slowly fizzling out like a deflating balloon animal.","Whirrs & chirps unite, gradually fading like a robotic bird's swan song.",Vacuum cleaner serenades: the tiny room edition.,"Noisy bearings vacuum, challenging the echo chamber of claustrophobic spaces.","Cranks grow into screeches, escalating like an opera singer trying to break glass."
Giant 1.wav,"Someone gurgles like a drain impersonating Shakespeare, with gentle background clangs for dramatic effect.",Gargling orator mimics words amid sporadic background symphony of dainty metal duels.,Mouth generates bizarre noises – human or malfunctioning kazoo?,Person speaks fluent Muffled Mumble – grab your decoder rings!,Hole-in-neck talker: a human whistle with muffled speech bonus.
dull metal.wav,"Fingernail tapping, like a tiny impatient woodpecker seeking attention.",Metal prongs playing the concrete xylophone with urgency.,"Metal sticks dueling like miniature, rhythmic swordfighters.",Two metal objects flirt with each other in a percussion love story.,"Faucet singing the slow, soothing lullaby of watery droplets."
Small Chain Clanging.wav,"Crunching leaves underfoot, sounding like a stealthy chipmunk on a snack rampage.","Crinkling aluminum candy wrappers, as if hand-prepping a symphony for squirrels.","Someone balling up candy wrappers, auditioning for the role of annoying moviegoer in real life.","A rattling necklace in a cup, like tiny breakdancers performing in your drinkware.","Stepping on dried leaves, serenading the squirrels with nature's own maracas."
Hitting Tall Grass.wav,"A person tries gardening therapy, tickling plants with slow-motion karate chops.",Weeding quickly turns into a Hulk-style workout session.,"Ground welcomes rocks with a hard, unsympathetic thud.","Sand relocation program: from shovel to ground, it's a gritty story.","The sand's adventurous journey: scoop, airtime, then plop on new ground."
Thunder Storm Daytona 3.wav,Thunder applauds a tap-dancing river. ,Forest plants shakin' it in a wind dance-off! ,Thunder's rock concert begins with a raindrop opening act. ,Thunder growls as rain drizzles like nature's snickers during a movie. ,Running water plays tag with rumbling thunder.
smoking in car.wav,"Lighter flicks, cigarette ignition, inhalation, and a cough resembling a broken lawn mower sputter.",Lighter-click symphony followed by a wheezy rendition of Ode to Smoker's Cough.,"The lighter's debut performance in an off-key smoker's opera, complete with a coughing crescendo.","Lighter strikes, cigarette flare-up, inhale-exhale, and the cough heard around the neighborhood.","A failed lighter audition, eventual ignition, inhale success, and the Cough of Great Triumph."
Huston we have a problem (before &amp; after cleaning).wav,"A lady's voice crackles through a walkie-talkie, like she's ordering pizza from Mars.",People chitchat over the radio like they're at a space cocktail party.,"Humans gossiping via radio, like intergalactic telephone game.","Folks conversing on the airwaves, channeling their inner DJ personalities.","Two people talking on the radio, pretending to be secret agents in their backyard."
Subping03.wav,"A bell chimes, its sound echoing like a confused ghost finding its way back home.","A timid robot's heartbeat, beeping like it's on a stealthy radar mission.","A shy mechanical bleep, as if a radar system is unsure of its own findings.","A sonar sound flexing its audio muscles, then taking a break before another round of sound push-ups.","Sonar plays a game of audio peekaboo, with signals hiding and reappearing like sneaky little ninjas."
sheep on pasture.wav,"Baby and adult lamb go baa-baa in grass, starting a fluffy family choir.","Human impersonating lamb's bleat, nails audition for farmyard comedy club.","Lamb-human duet, best baa-bleating impressions in town!","Sheep's baas harmonize with bird chirps, nature's fluffy-feathered symphony.","Sheep and birds' nature jam session, farm life's groovy soundtrack."
je_footstepsCement.wav,"A person tap-dances on sandpaper, scratching their way to fame. ",A slide-wearing sloth impersonator struts their stuff. ,A sidewalk stroller auditions for a role as a human broom. ,The sound of sidewalk shuffle: a one-man foot-dragging parade. ,Flip flop wearer auditioning for the role of Clack and Scrape: Sidewalk Serenade.
Geroezemoes.wav,"A wild mix of chit-chat, featuring everyone from grandpas to tiny tots.",A breakfast party's hilarious munch orchestra at the cafeteria.,"A united nations of foodies, feasting together in the breakfast summit.",Voices gone wild: the people's shouting rollercoaster edition.,"A talkative tribe, from baby babble to wise whispers."
paper01.wav,A book's pages frantically auditioning for a role in a sitcom.,"A book's pages playing musical chairs, but the music never stops.",A book conducting a paper orchestra with every flip.,A book with large leaves trying to mimic a wind turbine.,A book with giant pages practicing origami in the breeze.
0400 Traffic_police.wav,"A car's siesta interrupted by a whistle-blowing, motorcycle-riding enthusiast.",Urban symphony: a whistle-blower's solo amidst bustling city streets.,Whistle soloist steals the show at chaotic intersection recital.,Cop-turned-conductor orchestrates vehicular ballet on busy road.,Cars jamming to the whistle-icious soundtrack of the asphalt.
"Crowd ambience, eating popcorn.wav","Nearby, a cluster of humans create the symphony of muffled gossip. ","Like an echo chamber, the crowd's buzz just keeps bouncing. ",Imagine a sea of voices bobbing within a vast hall.,"Time flies, but the crowd's background blabber only amplifies. ",A lively babble of background voices competes for the spotlight.
"Walking in a park, on gravel (wind) - Athens National Botanical Garden.wav","Strolling by a school, hearing kids on the playground – little rascals plotting their next prank!","Wind blows, cue metal clangs and kiddie squeals – nature's chaotic symphony.","Outside a laundromat, hypnotized by spinning clothes – fashion show on loop!","Metal battles wind, kids screech in the distance – the great playground joust.",Sidewalk stroll beside a school – a playtime serenade of youthful antics!
Fan_Ventilation_Stereo 4.wav,A giant machine whirls like a mechanical beast having a dance party in a room.,It's a room party for the industrial machine that goes whirr-whirr all night!,The distant sounds of Mother Nature gossiping muffles the loud mechanical whir.,"A tiny engine and its cute little fan sidekick, aspiring to be car superheroes.","Busy industrial machines, playing musical chairs in the company warehouse."
Cicadas and birds in a hot summer noon.wav,"Meadow creatures' jam session: bugs on vocals, animals on backup.",Tweeting birds and gossiping humans create nature's background track.,"Jungle orchestra: Bird choir solos, river provides the rhythm section.",Socially-distanced birds practice call-and-response from afar.,"Jungle rave: bird DJ spinning tracks, river dropping the bass."
150209 Trevor Webb Beard Trimming.wav,Hair trimmer: the lawn mower of your head. ,Hair clippers: the barbershop chainsaw. ,Hair-trimming party: it's shear madness! ,"Electric razor buzz: head beekeeping, anyone? ",Buzzing electric razor: hair cut or UFO landing?
16_Rain_Light_Ocean_44_16.wav,A campfire's sizzling stand-up routine: burning branches and leaves. ,"Campfire crackles, branches and leaves scream Roasted! ","Whirring nearby, cracking fire preps s'mores ingredients. ","Whirring nearby, fire cracking like comedic timing. ","Rain falls silently, nature's stealthy splash show."
160718 HSN boy on tricycle passing by.wav,"Factory engine's roar, like a mechanical monster's belly laugh.",Paper shredder: office confetti machine in action.,"Shredding a charge card, the sound of financial freedom.","Remote control car's buzz, tiny racecars living their dreams.","A factory engine, the orchestra of industrial chaos."
remix of 130879__frederic-font__05-hang-song-1.wav,"A peppy tune on loop, like a caffeinated hamster's theme song.",Layers of music jive together like a dancing lasagna.,Music with a steady beat - a metronome's dream date.,Instrument playing as consistently as a clockwork orchestra member.,"Upbeat melody on repeat, like a hyperactive musical boomerang."
2 Gardener - May 2013 - Take01 - ZOOM H2n.wav,"A sander's speed audition, trying to find its groove.",Grass getting a stylish haircut by a power tool.,A weed whacker playing lawn Tetris.,Weed whacker: the lawn barber in action!,Weed eater power tool: the grass terminator.
fridaynight.wav,"A siren wails far away, playing hide and seek with a groaning traffic orchestra and the street performer's serenade. ",A sonic dance between humming machinery and a melodious instrument's tuneful tango. ,"Traffic's lion roars, sirens play 'Marco Polo', street performer jams with the city symphony. ",Trumpet solo battles for attention with cars and people's chaotic choreography. ,"Trumpet serenades oncoming traffic and pedestrians, auditioning for city's soundtrack."
ClockTicking.wav,Machine's click: sounds like a tap-dancing robot!,Pendulum's tick-tock: it's like a hypno-metronome!,Pendulum ticking: a clock's way of saying hello!,Clicking machine: it's like Morse code gone wild!,Tick-tocking clock: the Big Ben of alarm clocks!
Running.wav,"Horse moves, chains rattle like a clumsy ghost, then a man coughs a spooky hello.","A horse strolls, jingles its harness like Santa's sleigh, followed by a light cough of an elf.","Marathon runner with a keychain collection jingles to victory, then coughs up a victory speech.","A horse gallops as if it's late to the party, equipment jangling in a hurry, followed by an apologetic cough.","A moving horse rattles chains as if to say, I'm coming!, while the man sneaks in a sly cough."
opening and closing a loft door.wav,"A man lugs a metal object upstairs, pretending he's a weightlifter on a stairmaster.","The sliding door says whoosh!, someone tiptoes like a sneaky ninja.","Garage door slams, person turns into Stairmaster champion upstairs.","Door screeches, hallway witnesses an indoor moonwalk show.","Drumstick meets wood and shoving contest with heavy, grumpy furniture."
Breaking Glass .wav,"Glass objects go crash, bang, boom like a clumsy, tipsy superhero.",Glass-pocalypse: bottle vs. window vs. conservatory in a shattering showdown.,Dropped plates sing the song of their people: the crash chorus.,Tinkling glass: nature's reminder you shouldn't play catch with bottles.,"Glass floor-diving: it's not an Olympic sport, but it should be."
arsta.wav,"When storm winds serenade the dense forest, it's Mother Nature's lullaby.",The dense forest enjoys a storm wind jam session.,The wind's showing off its high-altitude DJ skills.,Wind and rain: nature's hurricane audition tape.,Wind's reaching new heights in its blowout performance.
Dog splashing in a lake.wav,"Splashy doggy dive, watery wiggles, and panting pooch party! ","Panting pup's pool plunge, watery wiggle wagon. ","Chained canine cannonball, aquatic adventure, soggy shake showdown. ","Collared K9 conquers pool, swims for glory, and shakes it off like a boss. ","Doggy dive debut, panting pool party, and the great shake off."
20100402.Brugge.street.04.wav,"Gossip squad in a carriage, horse clip-clopping like it's dropping a sick beat.",Friendly chitchat and a horse doing the moonwalk in the background.,Folks mingling while a horse photo-bombs their conversation with fancy footwork.,Laughter-filled banter with a horse strutting its stuff like a runway model in the background.,Chatty folks and a horse providing comic relief with its own version of tap-dancing.
DOOR_sliding_fthrll.wav,"An old adding machine grooves until a foot stomps, like a disco gone mathematically wrong.",A gadget rattles and thuds like a robot breakdancer losing its screws.,"An ancient adding machine clatters, joined by a foot's percussion in an office dance-off.",Closing folder drawers sounds like a filing cabinet choir shushing latecomers.,"A device rattling with plastic noises and thuds, as if a tiny construction crew is remodeling inside."
20110220_river.wav,"A boat bravely climbs waves as someone shouts, perhaps seeking Poseidon's permission for safe passage!","As the wind huffs and puffs like an angry toddler, voices behind it gossip about the drama.",Rain pitter-pattering on a country roof: nature's lullaby for farm folks' dreamy snooze.,"Folks casually chit-chat while floating in a plastic boat, reinventing the concept of water cooler conversations!",A waterfall's grand performance is upstaged by a croaking frog who insists on a duet.
20130723_Rain1.wav,"Car honks amidst a rainstorm, as if trying to part the clouds like Moses.","A car sputters to a stop, clunking and honking in protest, before being drowned out by agitated yells.",Rainstorm serenade interrupted by an impatient car honking for Mother Nature to hush up.,Rainfall and dueling car horns set the stage for a surprise human holler performance.,Heavy rain plays background music for a distant horn's comedic solo.
SFX_001.wav,"A gorgeous pipe organ serenade plays, then ghostly silence steals the show.","A soothing keyboard lullaby, sprinkled with magical fairy bells.","Pipe organ virtuoso performs a disappearing act, leaving only hush.",Mysterious cosmic tunes born from an electric musical beast.,"Yawn-inducing keyboard notes with bells, perfect for counting sheep."
steel water.wav,A person playing indoor knock-knock with a hollow brass bell.,When a brass bell gets tap-danced inside by an overenthusiastic individual.,The Haphazard Orchestra of vessels getting drummed on by stick-wielding maestros.,A vessel percussionist exploring the stick-click symphony of various containers.,"Alien tunes played on metallic devices, for the intergalactic grammys."
A swing is squeaking at night. (Ukraine.wav,"High-pitched wind instrument wails, sounds like a screeching squirrel symphony.",Wind instrument shrieks like a choir of angry parrots.,"Bus moves, and flute joins in, creating a mobile musical misadventure.","Flute serenade in a bus, making transit feel like a questionable jazz club.","Flutist tunes up, preparing for a concert that might rival an opera of howling dogs."
Lively Forest Stream (loop).wav,"A river gossips with the rocks, sharing its splashy secrets.","The river's water takes a rocky detour, performing a wet ballet.","The sky unleashed a pool party on the streets, nature's extreme flood rave.","Water dripping during a video, Mother Nature's reminder she's still there.","The river plays 'tag' with rocks, leaving wet high-fives on its way."
Bangles put on arm.wav,"A chandelier hangs, sparkling like a disco ball at a very fancy dance party. ","Metal balls collide in a glass bowl, like a chaotic game of metallic marbles.","Fancy metal objects find their spot, strutting their stuff like runway models. ","Tiny metal balls ping against each other in a glass bowl, it's like a mini-pinball orchestra!","Metals clash together, competing in an epic battle of clangs and dings."
AMB_Supermarket_BCN.wav,A grocery store cashier's beeping symphony of nutritional barcode treasure hunting.,A clerk scanning food items like a DJ dropping sick beats at the supermarket party.,"A grocery clerk's groceries pop song, featuring the unmissable beep chorus.",Scanners playing Name That Tune with a beep every time the bar code wins!,"A cashier scans groceries, performing a techno masterpiece that'd impress any foodie."
Pig - Multiple Snorts 6 (2 pigs) - 96kHz.wav,"A chorus of hogs oinking, like a piggy pop band rehearsing on the farm.",Oinking pigs with a mini human commentator stealing their spotlight.,"Piggy symphony in full swing, oinks echoing like nature's kazoo band.",Hogs oinking in Piggy Prison while gossiping humans provide background score.,"Pigs as chatterbox DJs, oinking to the rhythm of human gossip."
Anti Air Gun (3 Sounds).wav,"One gun starts a shooting party, and two latecomers join the noisy fiesta.",A solo gun initiates a boisterous trio with two other musically inclined firearms.,"A rhythmic drum roll impersonating rapid gunfire, it's like a military band practice.",Three gamers battle it out with virtual machine guns in their own symphony of chaos.,"One gun fires a constant solo, then others chime in for a retaliatory harmony."
City Ambience w_ Car Passing_1-2.wav,A truck roars down the road like a hungry dinosaur before sneaking off into the horizon.,"A truck cruises down the road and vanishes, like a ninja on an eighteen-wheeler mission.","A stealthy vehicle swooshes past, shattering the silence of its natural habitat.","An engine grumbles like an old man's stomach before fading away, satisfied with its journey.",An engine sputters and purrs like an indecisive cat before waltzing away into the distance.
Goin wee wee.wav,"A toilet roars in victory after a noisy battle, celebrating with a triumphant flush.",A rowdy rendezvous with a toilet ends in a watery farewell flush.,A stealthy tinkle turns into a watery typhoon with a swift flush of the throne.,A watery serenade crescendos with an elegant flush of the porcelain stage.,"The drip-drip prelude builds up to a splashy symphony, culminating in the grand flush finale."
Car_Driveby_Ford Fiesta_Puddles-Mud-Gravel.wav,"A car engine roars like a lion with a sore throat, tires crunching gravel like it's breakfast cereal.","A car zips down the world's longest gravel driveway, playing the xylophone before joining the symphony of traffic.","A car cruises down a gravel driveway like a ballerina on sandpaper, then tap dances onto the streets.","A vehicle tiptoes on gravel, then leaps away like a roadrunner fleeing a mischievous coyote.",A vehicle prances on gravel before speeding away as if it heard the ice cream truck jingle.
Baby crying slowed down.wav,"Creature sounds like a human, mumbling its way through life.",Distressed human sounding like a fish out of water.,Gasping person channeling their inner vacuum cleaner.,"Human tries to mimic farm animal, fails hilariously.","When humans impersonate animals, comedy ensues."
driving_buying_beer_on_sunday.wav,A guy chats as someone behind him practices their horror movie audition scream. ,"A man multitasks: talking, phone-staring, and car-walking like a distracted octopus. ","A man juggles talking, phone-gazing, and car-migrating like a sitcom dad. ",Car wash chaos: kids scream in harmony while foreground grumblings add a bass line. ,"Complaining car wash symphony, featuring a children's yelling choir in the back."
pc_mouse.wav,A tabletop transforms into a drum set as Mr. Boredom's fingers tap-dance away.,Desk-drumming virtuoso follows up with a knuckle-cracking solo.,Desk-strumming maestro breaks into knuckle-cracking applause for self.,The wind goes beatboxing while a microphone DJ tunes the party channel.,"Wind throws a beat, microphone taps along, and channel-tuning DJ drops in."
metro underground ambient noisy transport catalan barcelona minimal tickling glitch.wav,Public transport chats with passengers like a nosy aunt at a family reunion.,Airplane speaker spills the tea amidst gossiping passengers.,Robotic announcer tries to steal the spotlight in a chatty crowd.,"Public transport sounds the alarm, shouting Surprise! before announcing.",Chit-chat interrupted by an attention-seeking announcement.
hugeSlidingDoorSlamECM800.wav,"A carpenter's symphony featuring a slamming door solo, creating an oddly harmonious cacophony.","A woodworker's jam session, with a grand finale of a sliding door performance, leaving the audience in awe.","The door played peekaboo with the mysterious knocker, providing a much-needed break between knocks.",A door tap-dancing routine with intermissions of suspenseful silence before the grand reveal – open and close!,"Knock Knock – Door, Who's there? – Silence, Surprise! – Door opens and closes, bringing laughter to all."
Boa Constrictor.wav,"A butane fire plays peekaboo, roaring like a party animal on a rollercoaster.","A welding iron's flame, the world's tiniest disco inferno: now you see it, now you don't!","A hose impersonates an over-enthusiastic dog, slobbering all over everything it touches.","A welding iron flame makes a cameo appearance, like a celebrity who immediately regrets stepping on stage.","A hose moonlights as a superhero, fighting grime one splash at a time."
bohinj_forestFootsteps.wav,"Tiny fire's snap, crackle, and pop soundtrack with a side of woodland tap dancing.","Footstep DJ's making birds sing louder, then drop the beat as they stroll away.",Sneaky footsteps playing peekaboo while the bird choir keeps serenading.,"In nature's studio, singing birds lay the beat while ground steps drop a rhythm.",Nature's jam session: bird vocals and a strolling percussionist creating organic symphony.
"Uh, Hi, Mom. I Crashed the Car.wav",A man speaks like a sloth auditioning for a Shakespeare play. ,"A man chats, discussing the merits of belly button lint. ",A man talking as if he's on a first date with a mannequin. ,"A mumbling maestro, nervously inventing a new language. ",A person speaks with the confidence of a wet noodle.
Busy Coffee Shop.wav,"A coffee machine whirs, trying to outdo the gossiping folks nearby.",A coffee machine brews up drama while people chatter away.,"A milk shaker's the DJ, mixin' it up as scratching noises join the party.",Chatty folks accompany an ambitious water-pouring marathon.,Water pouring: a splashy symphony for a background-chatter orchestra.
Water Pour and Drink.wav,"A person pours a drink into a glass, then slams it down like a thirsty pirate. Arrr!","A person fills up a glass with a beverage, then drinks it like there�s no tomorrow. Then gasps for air like a fish out of water.",Water is poured into a container and chugged by a person who sounds like a steam engine. Choo choo!,Water is poured into a container and swallowed by someone who breathes like a marathon runner. And the race is on!,"Liquid is poured into a cup, then down the hatch of a person who alternates between gulping and panting. Like a dog with a bone."
outdoors ambient windy wind leaves rustle.wav,"Pan sizzles with food scoops, like it's hosting an Olympic diving event in hot oil!","Food sizzles on a stove, singing the tune of Cook Me Maybe.","Steaks flipped on a grill, doing their best burger impersonation!",Steaks performing acrobatics on the grill for your culinary entertainment.,Sizzling food on a stove: the orchestra of your kitchen's appetite.
vacuum power head.wav,"A blow dryer sounds like it's in a rollercoaster race with itself, roaring and whimpering through every twist and turn.","A machine grinding against another object, like two metallic turtles having a breakdance battle at different tempos.","A machine grating against another object, taking turns as they play the world's worst game of musical chairs.","A metal piece facing a spinning blade, like a rock guitarist shredding their solo with intensity and sparks.","An electric saw in the garage, playing dentist to an army of trees as they scream in protest."
Buddhist Bells.wav,"A bell rings thrice, and like a shy ghost, its echoes fade between each chime.","A triangle player tickles the metal's soul, making it sing with every touch.","Metal instruments are playing tag, their joyful collisions making high pitched giggles.",Clanging metal instruments are gossiping loudly in high pitched whispers.,"A triangle player massages the instrument, teasing out its melodious vibrations."
Packaging Paper Pen Scribble.wav,A tap-dancing pen scribbling down its life's story.,"Ink pen heroically finishes writing, then takes a well-deserved nap.","Eavesdropping on fingertip gossip: tap, tap, rub, repeat.","Pen writes its magnum opus, then drops the mic... er, nib.","Behind-the-scenes of a culinary jam session: sizzles, chops, and stirs."
kitchen-door.wav,Door's creaky serenade accompanies walking shoes' tap dance.,Squeaky door chorus backs the solo strut of ambulation.,Human meets creaky door - a symphony of interaction.,Cupboard peek-a-boo with soundtrack by inquisitive hinges.,Stealthy locker rendezvous thwarted by the squeaky hinge solo.
cd_load_26sedit.wav,"A radio stuck in limbo, jamming to the catchy tune of static.","A radio juggling stations, dancing with static as its partner.","A radio tuner sliding through static, eavesdropping on mysterious Morse code conversations.","A radio tuner strolls through Static City, overhearing Morse code gossip along the way.",A desperate human seeking radio signal salvation in a sea of ancient technology.
dishwasher beep and motor.wav,"A machine's noisy dance, pausing for a wardrobe malfunction, then back to grooving.","Machine and worker's stop-and-go tango, finding the perfect rhythm.","A lawnmower's game of peekaboo - going silent, then roaring back to life.","Industrial machinery playing freeze tag - stalls, then restarts with a victorious roar!","Industrial machinery pulls a dramatic fake-out, pausing before reawakening with a bang."
dryer_long_1.wav,"A hairdryer's escalating symphony, composing a windy masterpiece.","Motors turning, tirelessly spinning the wheel of industrial comedy.","Robo-comedian, motors on repeat, laughing at its own jokes.","The sassy blow dryer, steaming with hot gossip, vents away!","Vacuum slaying obstacles, one hilarious bump at a time."
Sugar Packet.wav,"A container of pills is shaken like a maraca, then like a metronome, then like a shaker. Someone is having a musical moment.","Someone crumples up a candy wrapper, snaps it like a twig, and balls it up like a snowball. Ready for a fight?","Someone is playing with the plastic cover for a product, making sounds like a bag of chips. Crunchy!","Someone is shaking a sugar packet like a tambourine, then like a rattle, then like a whip. Sweet!","Candies in a container are shaken like a cocktail, then like a drum, then like a blender. Cheers!"
Heavy Rain 1.wav,"Heavy rain thunders down, like an army of tap dancers gone rogue.","A heavy rainstorm smacks the ground, nature's way of playing whack-a-mole.","Heavy rain undercover, like watching a wet blanket competition from your cozy bunker.","Rainfall with a side of thunder, Mother Nature's awkward drum solo.","Moderate rain and timid thunder, nature's failed attempt at a surprise party."
Steps Indoor medium soft Shoe Sole accompanying wooden Floor hollow Big Room 5mx10mx6m.wav,"A wanderer's footsteps, leaving like they're late for a comedy show.","A shuffling walk, like an escapee from the Ministry of Silly Walks.",Footsteps stomping like a one-man marching band on a breakdance floor.,"A chorus line of hallway footsteps, taking a breather mid-performance.","Thunderous boots on wood, as if Bigfoot joined a tap dancing class."
CivicSI.Accelerating.1.wav,"A motorbike awakens with a roar, like a lion riding a skateboard, then speeds away swapping gears.","A motorbike starts, sings the rev anthem, and zips past while juggling its gears like a pro.","A race car bolts from its garage, like a caffeinated horse entering the race of its life.","A sports car gear-shifts like a DJ scratching records, then cruises on a rock-crunching runway.","Sports car plays musical chairs with gears, then rocks out on its favorite gravel road stage."
Windshield Wiper.wav,"Water flows and brushes dance after an intense cleaning session, like a hygienic party in progress.","A cleaner armed with a spray tool transforms into a scraping, squeaking superhero.","A man sprays, scrapes, and squeaks, turning a mere cleaning into a musical comedy.","Squeegee shuffles water, and floor sweeping ensues; it's the waltz of cleanliness!","Water skates away by squeegee, and the floor sweeping tango begins."
Pasta bag shuffling.wav,A person's vigorous paper-munching session.,A bag of chips meets its crispy demise.,The Great Potato Chip Bag Origami.,"A paper bag orchestra, loading up their instruments.","Crunch-pause-crunch, the sound of an indecisive snacker."
Oie 01.wav,"A duck's enthusiastic squeak party, joined by its fellow rubber soulmate.","A goose belting out high notes, receiving backup vocals from its feathery squad.",A squawking bird with a serious case of shortness of beak.,"A bird sings a siren song, luring a jogger into its feathery trap.",Goose's honk starts a feathery gossip chain among the caw-mrades.
